#Open,High,Low,Volume,Close
75100,75500,74100,987191,74800
75600,76600,75100,946788,76600
76700,80000,76600,1399434,79700
80200,82200,80000,1342983,80900
82000,82000,80400,743548,81100
81400,82100,81200,963550,81900
82700,83100,80100,883074,80900
80200,80500,79500,1008232,80400
80700,82400,80000,1149415,81400
80800,83200,80800,1068807,82500
83600,84100,83200,1158041,84000
84400,84800,83600,497391,84000
83500,84000,81900,664556,82900
82700,83700,82400,649914,83500
83300,83800,82500,532084,83400
84000,84900,83200,728265,83900
83800,85000,83200,592926,83800
83100,84000,82100,826376,82100
82600,84100,82500,843313,83500
84400,84400,82500,830691,82600
82600,83400,82300,764359,83300
82600,85400,82600,973276,84000
84000,85000,83300,948354,84800
85000,86500,84900,1124742,85600
85300,87000,84400,1021212,87000
87600,90300,87200,1684078,90000
91400,92300,90500,1041932,92000
92000,98600,91600,2088769,97400
98400,98600,96100,1189526,98000
97000,98000,94800,1412367,96000
95500,96700,94000,830324,94500
94500,96100,94200,907243,94600
94600,97500,94500,884778,95900
97000,100500,96700,1326205,97000
98000,99400,97500,965877,98600
97200,99500,96300,899455,96500
95200,96600,95200,1034870,96100
95500,96500,95400,675884,95900
95700,97200,95600,864812,96900
96600,96900,94600,1201183,95500
95600,96000,94200,950538,95000
95000,95800,94700,657321,94900
95000,98500,95000,959176,97900
97900,97900,95900,586246,97300
97700,98400,97100,855646,97300
98100,98900,97000,1029109,98400
98400,98900,95600,1231153,97000
96800,97000,95100,1907380,95600
96900,97000,93800,1651025,95600
96000,96500,95100,1056933,96000
96000,96100,94200,1222084,95000
95300,95900,92300,1254235,92800
92000,94300,92000,801908,93800
93000,93900,91600,969777,92500
91900,95300,91800,1030773,95200
95400,95500,94000,511123,95400
95400,95400,93800,609209,94300
94000,94300,90500,1075021,92800
92100,93200,90600,844222,91700
91800,92600,90000,862723,90700
88200,89700,86900,1477679,88200
87700,89800,86500,1358450,88500
89600,91200,88700,1601203,89100
90000,90200,85800,1927636,87400
84300,86900,83600,4348095,86400
86700,87700,85600,1402083,87200
86100,86900,84300,1977670,85100
85500,86800,84700,1273915,86500
85300,86100,82300,1597112,83100
82600,84200,81300,1383359,82400
82400,83300,81600,994587,81900
81200,82600,80000,1404552,80200
80600,81200,79300,924058,80200
81000,83200,80800,1680383,82900
84400,84500,82300,1114486,83000
83300,83400,81700,1120964,82800
84300,84300,80000,1230596,81000
80500,81000,79400,1110763,79900
80300,80900,78100,1511608,80000
79600,81000,78700,963866,80800
80900,82100,80600,963014,81600
81700,82600,80200,741736,82000
82700,84900,82400,1583651,84000
84500,85900,83900,794730,84900
85200,85300,83500,463579,84100
84500,84500,82600,682026,83100
83900,83900,82100,731547,82100
83000,84200,82600,1363014,83600
83100,83200,81200,1093776,81700
81700,81900,79800,1078803,80000
79400,81000,79200,723691,80000
80000,82100,80000,1058619,80700
81000,82700,80500,823107,81200
82500,83300,82500,760798,83200
85000,85100,83300,1055407,83700
84100,85000,83500,849868,83700
85000,85000,83300,773335,83300
83500,84200,83200,700029,83600
83200,83700,82800,715431,83000
83000,83100,81600,747041,82200
82000,82000,80500,768721,80700
80900,81300,80000,700308,80900
80600,81400,80200,701767,81400
78400,79600,78000,1548770,79300
79000,81800,78900,867722,81300
80200,81900,80200,413415,81300
81300,82000,80900,503340,81900
81900,82200,80800,595873,81700
81700,82800,80300,791510,82400
83600,85900,83600,1604826,85100
86300,88500,86000,2476918,88000
88000,88000,86600,1051203,87200
87200,87400,85800,1275798,86100
85000,86300,84900,599533,86000
85100,86000,84800,615184,85000
85000,85400,84000,463570,85000
85500,86100,85200,549793,86100
86700,88100,86000,883354,87600
87900,88100,87600,714510,88000
87500,88100,87000,592247,88000
87900,91100,87700,1677704,88200
88000,90000,87400,979133,89700
90700,90900,88000,1268816,88000
86600,86700,83900,2160222,85100
84900,85500,83500,1533967,85400
85700,87000,83100,1192874,87000
85900,85900,83700,2211073,84400
83500,83700,81900,1720070,82900
81500,82000,80100,1612958,81300
80500,83500,80300,1256559,80300
80000,83100,79200,1704624,81900
83600,85000,83200,1601696,85000
85300,85400,84100,670432,84700
84500,84500,83000,659747,84200
83100,83900,82200,969055,83500
82000,82800,81500,643825,82800
81300,82000,80900,1157469,81200
81300,82100,80500,1457256,81300
82000,83500,81900,1362708,82700
80100,81700,80100,1080554,81200
81400,82300,78900,980611,81300
80000,80600,78600,1856167,78700
77000,77900,76000,1658780,76800
75300,76400,74700,1801390,76200
76500,77300,74500,1761295,74600
74900,76400,74800,964658,75500
77000,78300,76500,1049081,77200
76300,76800,73500,1632952,73500
72600,74800,70900,2186088,70900
72900,73100,71600,1864408,72100
73500,77000,73500,2371745,77000
75000,77900,75000,1473283,76300
76600,77700,75000,1381550,75000
75800,76400,74100,1001873,76400
76000,76300,74800,962534,75500
74000,74400,71700,1588257,72100
71000,73400,70200,1381297,73000
73900,75100,73300,988701,73900
76100,77800,75400,1602697,77600
77000,79100,76300,860686,78500
77500,78000,74300,1017940,74300
74300,75300,73200,551089,74800
76100,77100,76000,776162,76000
76900,77000,74800,548147,77000
76000,76900,75000,691884,76800
77100,78300,76200,945640,77900
76500,79100,75600,1124790,78000
79500,79800,78500,1075408,79500
81000,81200,80200,1009643,80600
80500,80600,78600,1010128,79600
79200,79600,77700,1225584,78200
77000,78200,76600,733214,77600
77000,77500,76100,625550,76500
76900,77400,75900,672208,76300
75900,77200,74800,949417,77100
77000,77000,75500,898848,76200
76400,76400,74200,1372248,74500
72500,73500,71900,1753452,72300
71000,71100,69700,1724921,70000
68300,70400,68100,1316148,70000
70000,70800,69700,543700,70600
71700,73000,71000,955064,72300
71400,73600,71200,919849,72800
72600,73000,71700,732719,72100
72400,74000,72300,1160049,73700
74000,74400,73300,687911,74200
75000,75400,74100,1150651,74400
74100,74600,72300,1186072,73300
74200,74300,73000,617047,73100
73100,74800,73100,1130447,74000
73500,76900,73400,2068088,76900
77100,78100,77000,1393907,77100
76900,78100,76600,936092,77100
77800,79000,76700,783022,76700
76700,78100,76600,666846,77400
77400,78400,76900,680093,77400
77200,77900,76000,639628,76700
77200,77700,75300,750911,75500
75200,76300,74800,521996,76000
76800,78700,76600,1554312,78200
79000,80200,78100,1260523,78700
78800,79100,77800,914213,78300
78500,79200,77300,1039487,78100
78100,79100,78000,630651,78400
78900,79200,78000,860839,78100
77800,78800,77800,573982,78600
78300,79600,78300,622678,79200
79600,80000,79100,643658,79300
80000,80100,79400,793630,79800
80000,80000,78400,554592,79300
79600,81600,79100,1235780,81000
81200,82400,80700,1233236,82200
82800,83700,82400,1004999,83000
83000,84500,82500,632429,84500
83900,83900,82400,1194497,83400
82100,82500,81500,844022,82500
81500,82300,81500,586787,81800
81800,81900,80100,1009448,80300
80000,81500,79600,511437,80600
81900,82000,81200,407806,81200
81200,83000,81100,1260078,82500
82800,84200,82400,813979,84000
83500,85400,83500,881040,85400
85400,86200,84700,617850,85300
84700,84800,83000,832134,84000
84900,85100,82800,903527,83000
81800,82000,80000,1599214,80800
80800,81600,79900,611690,81500
81900,82000,79900,563345,80400
80400,81500,80000,755733,81400
81400,81900,80800,678763,81400
81500,81700,80300,789465,81000
80500,81500,80400,552302,80600
80000,80700,79000,1160130,79200
80000,80500,77700,1966874,78000
77800,79000,77600,725370,78300
78000,78300,76900,997832,77600
77400,78500,77100,1199511,78500
79000,79400,78700,1279181,79100
78800,79000,77700,1433759,78000
78200,78300,76800,1082834,77600
76600,77400,76400,895341,77200
77500,77600,76200,572364,76500
76400,77200,76400,671722,76500
77100,77900,77000,1189046,77800
78500,79200,78200,748871,78400
78400,78900,77800,468921,78500
78900,79900,76800,2245152,77900
77300,77500,75800,1488186,76100
75900,75900,74400,1144194,75000
74500,76600,74500,1050677,76600
76100,76700,75100,753531,76500
75300,75800,74600,2117364,74900
74600,75100,73200,1724108,73700
73300,73400,72000,1493664,72100
72600,73000,72100,857093,72500
72700,74000,72600,1046052,73500
73500,75000,73500,1040734,74900
74800,74800,73900,601934,73900
73700,74200,72800,887497,74200
74500,75200,74300,796423,74800
74900,75600,74800,688863,75500
75700,75800,74500,548556,74800
74800,74900,73900,582543,74700
74100,74300,72600,1299272,73000
72300,72500,70300,3408322,70300
70500,71600,70200,1817636,71000
70500,70700,68900,2490907,69300
69100,70300,69100,1515865,69700
69600,70000,69100,1758801,69400
68500,69800,68300,1083579,69700
69700,70900,69600,1035413,70800
70800,71600,69900,1611824,70400
70400,71600,70300,1894241,70600
70600,70600,69700,679653,70000
70100,70400,69000,1009085,69000
68800,68800,67100,1994929,67300
66500,67000,65400,2854288,65800
64900,65200,64300,1760445,64900
64600,65600,64500,1307221,64700
64600,65400,64600,948602,64900
64700,66400,64700,1275365,65700
66000,67800,66000,2120604,67800
67900,68000,67300,962886,67800
68700,68700,67400,855620,67700
68000,68300,67600,690049,68000
67800,68900,67700,796909,68500
68900,69100,68400,877815,68500
68200,69100,67800,728928,68400
68400,68900,67400,838897,68300
68000,68000,66900,627219,67300
67300,67900,66600,577705,67400
67700,67900,67300,685546,67500
67700,68600,67500,874422,67600
67500,67500,66100,1241442,66700
66100,66900,65100,1586010,65300
64000,64900,64000,886974,64900
64900,66000,64000,1190861,64500
64000,64400,62900,1094031,63500
63400,64600,63400,730780,63900
64500,65000,63700,1525790,63900
64200,64300,63600,825325,64100
63800,65800,63700,1827115,65400
66000,66300,64800,1177628,65200
65900,65900,64800,750181,65100
64900,64900,63900,891958,64100
63900,65400,63700,619116,64600
64200,65200,64200,519878,64800
65500,67100,65400,1751339,67000
68000,68000,65800,966103,66500
65500,67100,65400,794870,66400
66500,67600,66200,1071146,66200
66700,67300,66500,467571,66800
66900,68200,66800,735910,67100
67000,68700,67000,1210336,68000
68600,70100,68300,2066945,69800
69900,69900,67600,1763378,69800
69800,69800,68000,1248838,69000
69000,69500,68300,701573,68900
68700,68900,67500,1265964,67700
67300,68600,67300,643128,68000
67300,69000,67300,711128,68700
68000,69000,67700,649397,68700
69800,70400,69300,1247322,70000
71000,71000,70100,763871,70200
70900,72100,70300,1524960,71600
72000,73200,71900,1250386,72600
73700,74100,72700,1317144,73000
73300,73400,72000,1260848,72400
72100,72400,71000,1592999,71900
71000,71200,69900,1763187,70900
71000,71000,69300,1091087,70100
68000,69500,67900,1169635,69000
68500,69900,68400,1920391,68800
67900,69200,67700,1670998,68300
68700,69600,68700,1121896,68800
69300,69300,68100,1151881,68500
67900,68000,67300,1519234,67600
68200,68400,67300,1172525,67700
68000,69200,67800,937437,68700
68900,69000,68200,629245,68600
67500,68200,67400,560293,67900
68200,68800,67700,591959,68400
68800,68800,68000,479497,68400
68500,69000,68100,475318,68500
68700,68700,67500,830538,67800
68000,68200,67200,775960,67600
68000,68200,67000,1068034,67300
67000,67500,66000,1287545,66700
66200,66600,65600,1020431,66300
66000,67200,65600,739105,66300
65800,66200,65000,1501627,65400
65400,66100,65100,897332,65500
65900,66800,65500,1089786,66100
67800,69700,67600,3265362,68300
69000,69100,67700,1164005,68000
68100,68300,66800,1622717,67200
67300,67900,66300,1257232,66500
66500,66700,65300,1622198,65900
65900,66500,65400,1170234,65800
66000,66600,65600,958315,65700
65700,66900,65700,1016630,66300
66300,66300,65100,1610709,65700
65400,65800,65100,1231740,65300
65000,65700,64600,1469633,64800
65300,65500,64700,1081098,65000
65300,65600,64600,909994,64800
64600,64800,63800,1359337,64300
64000,64300,62800,2446018,63200
63500,63700,62600,1549748,63100
62800,62900,61700,2019024,62000
61900,62000,60100,2810663,60500
60600,61700,60100,2350321,60100
60100,60100,58000,2500088,58000
58700,60100,58500,2148154,59300
59900,62000,59800,2754661,61600
62400,62700,61000,1886786,61900
62400,62500,61600,1106297,62200
62900,64000,62700,1999917,63000
62800,63000,61900,1689504,62100
62100,62700,61500,929432,61800
62000,62500,61300,1234969,61300
62000,63200,61300,1335464,62700
63500,65100,63400,2297489,64600
65200,66300,64900,2418531,65000
65400,65500,64400,1107642,64600
65500,66100,64500,988867,64700
64200,64600,63600,1117658,64000
65000,67000,64900,3220639,66800
66800,68200,66400,1852341,68000
68000,68000,66900,859350,67800
66700,67700,66400,934409,67400
67000,67800,67000,553871,67400
67100,68200,66400,1130478,66400
66400,66500,64600,1431585,65700
66000,66700,65700,1013322,65700
65700,67700,65500,1304370,65500
67400,67700,66200,1729820,67700
68300,69400,67300,2159825,69000
69000,71000,68200,2532228,70800
70000,72700,69500,2668551,71800
73000,73400,72600,2312399,72900
73600,73700,72000,1290715,72800
71700,73200,71600,1277749,72100
73000,74300,73000,2059945,74000
74500,75300,73900,1546634,74600
74600,75000,73800,852311,74900
74300,74300,72700,1277615,72700
